timestamp,time (gmt),value,lowPass,highPass,highPassAdaptiveMean
1495414957.051423,42877.043484,373.0000,260.1102,6.7597,0.0000
1495414957.178473,42877.043486,258.0000,259.8992,3.2743,0.0000
1495414957.305611,42877.043487,286.0000,262.5093,2.9422,0.0000
1495414957.434434,42877.043489,268.0000,263.0583,1.7456,0.0000
1495414957.565761,42877.043490,266.0000,263.3525,1.0199,0.0000
1495414957.692850,42877.043492,267.0000,263.7173,0.6923,0.0000
1495414957.819990,42877.043493,283.0000,265.6455,1.3103,0.0000
1495414957.949257,42877.043495,200.0000,259.0810,-2.6271,0.0000
1495414958.081726,42877.043496,370.0000,270.1729,4.2324,0.0000
1495414958.209060,42877.043498,323.0000,275.4556,4.7575,0.0000
1495414958.335910,42877.043499,293.0000,277.2100,3.2560,0.0000
1495414958.474111,42877.043501,209.0000,270.3890,-1.7825,0.0000
1495414958.623576,42877.043503,240.0000,267.3501,-2.4107,0.0000
1495414958.761764,42877.043504,197.0000,260.3151,-4.7229,0.0000
1495414958.900332,42877.043506,232.0000,257.4836,-3.7772,0.0000
1495414959.044930,42877.043507,199.0000,251.6352,-4.8128,0.0000
1495414959.185166,42877.043509,222.0000,248.6717,-3.8881,0.0000
1495414959.326070,42877.043511,234.0000,247.2045,-2.6777,0.0000
1495414959.475388,42877.043512,202.0000,242.6841,-3.5991,0.0000
1495414959.614561,42877.043514,250.0000,243.4157,-1.4337,0.0000
1495414959.753485,42877.043516,199.0000,238.9741,-2.9377,0.0000
1495414959.906068,42877.043517,203.0000,235.3767,-3.2675,0.0000
1495414960.048008,42877.043519,225.0000,234.3390,-2.1526,0.0000
1495414960.192679,42877.043521,286.0000,239.5051,1.5067,0.0000
1495414960.338247,42877.043522,247.0000,240.2546,1.1281,0.0000
1495414960.477546,42877.043524,222.0000,238.4292,-0.3487,0.0000
1495414960.616358,42877.043526,234.0000,237.9862,-0.3958,0.0000
1495414960.769176,42877.043527,216.0000,235.7876,-1.2972,0.0000
1495414960.910804,42877.043529,198.0000,232.0089,-2.5380,0.0000
1495414961.050614,42877.043531,226.0000,231.4080,-1.5694,0.0000
1495414961.197234,42877.043532,300.0000,238.2672,2.6449,0.0000
1495414961.324331,42877.043534,263.0000,240.7405,2.5591,0.0000
1495414961.451348,42877.043535,232.0000,239.8664,0.8425,0.0000
1495414961.578402,42877.043537,231.0000,238.9798,-0.0221,0.0000
1495414961.705385,42877.043538,203.0000,235.3818,-1.8100,0.0000
1495414961.838318,42877.043540,283.0000,240.1436,1.4759,0.0000
1495414961.965358,42877.043541,283.0000,244.4293,2.8808,0.0000
1495414962.092454,42877.043543,205.0000,240.4863,-0.5311,0.0000
1495414962.220015,42877.043544,316.0000,248.0377,3.5101,0.0000
1495414962.349106,42877.043546,199.0000,243.1339,-0.6968,0.0000
1495414962.476096,42877.043547,312.0000,250.0205,3.0949,0.0000
1495414962.603103,42877.043549,247.0000,249.7185,1.3964,0.0000
1495414962.730313,42877.043550,236.0000,248.3466,0.0123,0.0000
1495414962.857272,42877.043552,221.0000,245.6120,-1.3612,0.0000
1495414962.985735,42877.043553,284.0000,249.4508,1.2388,0.0000
1495414963.112734,42877.043555,266.0000,251.1057,1.4469,0.0000
